iter	RMSE
0	11.78867682
1	11.31261004
2	10.86339283
3	10.43571315
4	10.03494606
5	9.658446391
6	9.297888273
7	8.958750836
8	8.635580065
9	8.33193229
10	8.04871483
11	7.787491263
12	7.537320806
13	7.302979765
14	7.087228816
15	6.878207688
16	6.682191209
17	6.501866421
18	6.333827247
19	6.178590447
20	6.034372131
21	5.898124326
22	5.771524149
23	5.649648257
24	5.53508641
25	5.432057368
26	5.330134954
27	5.233422567
28	5.147773936
29	5.066295799
30	4.989656995
31	4.923831591
32	4.857486537
33	4.799178326
34	4.739194006
35	4.685715744
36	4.636903802
37	4.593084705
38	4.550637872
39	4.515290545
40	4.472936519
41	4.438821617
42	4.404511368
43	4.375748707
44	4.347845169
45	4.320519762
46	4.293557912
47	4.270129517
48	4.250909177
49	4.226057923
50	4.203983807
51	4.180310032
52	4.1636603
53	4.146084106
54	4.129893793
55	4.116658842
56	4.105756516
57	4.093738804
58	4.080824347
59	4.06832588
60	4.054468823
61	4.043637475
62	4.028916717
63	4.017661221
64	4.005115875
65	3.995785687
66	3.987824271
67	3.978937171
68	3.967274549
69	3.959645315
70	3.952466893
71	3.945618554
72	3.938626295
73	3.926634718
74	3.920636247
75	3.915305484
76	3.909780714
77	3.904893125
78	3.89946671
79	3.894297736
80	3.890555251
81	3.887750206
82	3.883277332
83	3.877326301
84	3.870855261
85	3.864480061
86	3.861273672
87	3.855969612
88	3.849827116
89	3.844497554
90	3.842148649
91	3.83790687
92	3.835690851
93	3.832425918
94	3.830025818
95	3.825864187
96	3.820293582
97	3.81716733
98	3.81151268
99	3.807570631
100	3.803461946
101	3.800847573
102	3.798225449
103	3.796130438
104	3.792243702
105	3.787966028
106	3.780001007
107	3.775421018
108	3.772694392
109	3.768549475
110	3.763363597
111	3.759968463
112	3.757529147
113	3.754812546
114	3.753267363
115	3.750198701
116	3.748675381
117	3.746499923
118	3.744269724
119	3.741815815
120	3.737148736
121	3.735414567
122	3.73231096
123	3.730407527
124	3.728399226
125	3.726917936
126	3.723697241
127	3.722278415
128	3.719176718
129	3.716974597
130	3.715116872
131	3.712774367
132	3.710114997
133	3.709077496
134	3.707509736
135	3.704801199
136	3.702364854
137	3.700852369
138	3.699706177
139	3.697362955
140	3.696428539
141	3.692966062
142	3.691770554
143	3.69088008
144	3.687911044
145	3.686860478
146	3.683795259
147	3.682863623
148	3.680923553
149	3.67926146
150	3.677024241
151	3.675040236
152	3.671397325
153	3.668940044
154	3.667671776
155	3.66537084
156	3.66306195
157	3.661496775
158	3.658614242
159	3.655979778
160	3.653362328
161	3.652229053
162	3.647191129
163	3.645896206
164	3.64390728
165	3.642480509
166	3.641306003
167	3.639718592
168	3.638098033
169	3.636422557
170	3.634124366
171	3.630202412
172	3.627993334
173	3.625393175
174	3.623767097
175	3.621859444
176	3.619112418
177	3.617931736
178	3.614076322
179	3.612258143
180	3.610481673
181	3.608584889
