iter	Passed	Remaining
0	13	13698
1	17	8647
2	22	7364
3	25	6302
4	28	5643
5	31	5215
6	35	4991
7	38	4791
8	41	4613
9	45	4457
10	48	4318
11	51	4213
12	54	4133
13	57	4049
14	60	3992
15	63	3930
16	66	3870
17	70	3835
18	73	3790
19	76	3742
20	79	3702
21	82	3657
22	85	3648
23	90	3674
24	93	3643
25	96	3619
26	100	3603
27	104	3615
28	109	3656
29	112	3647
30	116	3649
31	120	3642
32	124	3658
33	128	3654
34	131	3634
35	134	3614
36	138	3592
37	141	3576
38	144	3556
39	147	3539
40	150	3522
41	153	3504
42	156	3489
43	159	3471
44	162	3454
45	166	3444
46	169	3428
47	172	3413
48	175	3403
49	178	3388
50	181	3374
51	184	3362
52	187	3348
53	190	3338
54	193	3326
55	196	3312
56	199	3300
57	202	3288
58	205	3279
59	208	3270
60	211	3262
61	215	3258
62	218	3248
63	221	3237
64	224	3229
65	227	3218
66	230	3208
67	233	3200
68	236	3191
69	239	3182
70	242	3175
71	245	3167
72	248	3161
73	251	3152
74	255	3146
75	258	3138
76	261	3132
77	264	3124
78	267	3117
79	270	3110
80	273	3102
81	276	3094
82	279	3089
83	282	3083
84	285	3077
85	288	3068
86	291	3062
87	294	3055
88	298	3050
89	301	3043
90	303	3035
91	307	3029
92	310	3023
93	313	3019
94	316	3012
95	318	3003
96	321	2997
97	325	2992
98	328	2985
99	331	2979
100	334	2979
101	337	2974
102	340	2968
103	343	2961
104	346	2956
105	350	2951
106	353	2948
107	356	2943
108	359	2936
109	362	2931
110	365	2927
111	368	2922
112	371	2916
113	374	2908
114	377	2905
115	380	2902
116	383	2896
117	387	2892
118	390	2888
119	393	2883
120	396	2879
121	399	2875
122	402	2869
123	405	2862
124	408	2858
125	411	2855
126	414	2850
127	417	2845
128	421	2842
129	423	2837
130	427	2832
131	430	2828
132	433	2825
133	436	2821
134	439	2815
135	442	2812
136	445	2807
137	448	2802
138	451	2798
139	454	2792
140	457	2789
141	460	2782
142	463	2778
143	466	2773
144	469	2769
145	472	2764
146	475	2760
147	478	2756
148	481	2749
149	484	2745
150	487	2742
151	490	2737
152	493	2733
153	496	2729
154	499	2725
155	503	2721
156	505	2716
157	508	2711
158	512	2708
159	515	2704
160	518	2701
161	521	2696
162	524	2691
163	527	2687
164	530	2683
165	533	2678
166	536	2674
167	539	2671
168	542	2667
169	545	2663
170	548	2659
171	551	2655
172	554	2652
173	557	2648
174	561	2645
175	564	2641
176	567	2636
177	570	2633
178	573	2630
179	576	2628
180	580	2627
181	585	2631
182	589	2632
183	593	2629
184	596	2626
185	599	2623
186	603	2623
187	607	2622
188	611	2623
189	616	2627
190	621	2630
191	624	2628
192	628	2627
193	632	2628
194	636	2628
195	640	2628
196	644	2625
197	647	2624
198	650	2619
199	654	2619
200	659	2621
201	663	2622
202	667	2620
203	671	2620
204	676	2622
205	679	2620
206	682	2616
207	687	2616
208	692	2622
209	696	2621
210	700	2620
211	704	2619
212	709	2620
213	713	2619
214	716	2617
215	721	2617
216	725	2618
217	730	2619
218	734	2619
219	739	2620
220	743	2621
221	747	2619
222	751	2619
223	757	2624
224	762	2625
225	765	2622
226	770	2623
227	774	2622
228	778	2621
229	782	2619
230	787	2620
231	791	2620
232	795	2618
233	799	2617
234	804	2617
235	808	2618
236	812	2614
237	816	2613
238	821	2614
239	825	2614
240	829	2612
241	832	2608
242	838	2610
243	841	2608
244	845	2605
245	850	2605
246	856	2610
247	860	2609
248	864	2608
249	869	2609
250	874	2608
251	878	2608
252	883	2609
253	889	2612
254	893	2610
255	898	2609
256	902	2610
257	907	2609
258	911	2608
259	915	2605
260	919	2603
261	923	2600
262	926	2597
263	930	2593
264	933	2590
265	937	2586
266	941	2583
267	944	2579
268	948	2576
269	951	2572
270	955	2569
271	958	2565
272	962	2561
273	965	2557
274	968	2552
275	971	2547
276	974	2542
277	977	2538
278	980	2533
279	983	2529
280	986	2523
281	989	2518
282	992	2514
283	995	2509
284	998	2505
285	1003	2504
286	1006	2500
287	1010	2497
288	1013	2492
289	1016	2487
290	1019	2484
291	1022	2479
292	1025	2474
293	1028	2469
294	1031	2464
295	1034	2460
296	1037	2456
297	1040	2451
298	1044	2447
299	1047	2443
300	1051	2441
301	1054	2438
302	1058	2435
303	1061	2430
304	1064	2426
305	1067	2421
306	1070	2416
307	1073	2412
308	1076	2407
309	1079	2403
310	1082	2398
311	1085	2394
312	1088	2389
313	1091	2385
314	1094	2380
315	1098	2377
316	1101	2373
317	1104	2369
318	1107	2364
319	1110	2360
320	1113	2355
321	1117	2352
322	1120	2348
323	1123	2344
324	1126	2339
325	1129	2335
326	1132	2331
327	1135	2326
328	1138	2322
329	1142	2318
330	1145	2314
331	1148	2310
332	1151	2306
333	1154	2301
334	1157	2297
335	1160	2292
336	1163	2288
337	1166	2284
338	1169	2280
339	1172	2275
340	1175	2271
341	1178	2267
342	1181	2263
343	1184	2259
344	1187	2255
345	1190	2250
346	1193	2246
347	1197	2242
348	1200	2238
349	1203	2235
350	1206	2230
351	1209	2226
352	1212	2222
353	1215	2218
354	1218	2213
355	1221	2209
356	1223	2204
357	1226	2199
358	1229	2195
359	1232	2191
360	1235	2187
361	1238	2183
362	1241	2179
363	1244	2174
364	1248	2171
365	1251	2167
366	1254	2163
367	1257	2159
368	1260	2155
369	1263	2151
370	1266	2146
371	1269	2142
372	1272	2138
373	1275	2134
374	1278	2130
375	1281	2126
